"Table S2. Selected publications from Web of Science searches associated with research topics. Please see the Table S1 and the full-text article (Leigh et al., ""Ecological research and management of intermittent rivers: an historical review and future directions"", published in Freshwater Biology) for details of search topics and selection criteria. Formatting of the entries matches that of the output from Web of Science searches; the authors of the present study are not responsible for any associated errors in publications details or style.",,,,,,,,,,,,,,,,,,,,
Associated search(es),Publication year,Author(s),Title,Abstract,Source,Volume,Issue,Special issue,Start page,End page,Article number,Digital Object Identifier (DOI),Book Digital Object Identifier (DOI),Conference title,Conference date,Conference sponsors,Conference location,International Standard Serial Number (ISSN),International Standard Book Number (ISBN),Accession number
Assessment,1980,"FLUG, M; ABIGHANEM, GV; DUCKSTEIN, L",AN EVENT-BASED MODEL OF RECHARGE FROM AN EPHEMERAL STREAM,,WATER RESOURCES RESEARCH,16,4,,685,690,,10.1029/WR016i004p00685,,,,,,0043-1397,,WOS:A1980KG45700011
Fish,1981,"COLLINS, JP; YOUNG, C; HOWELL, J; MINCKLEY, WL","IMPACT OF FLOODING IN A SONORAN DESERT STREAM, INCLUDING ELIMINATION OF AN ENDANGERED FISH POPULATION (POECILIOPSIS-O-OCCIDENTALIS, POECILIIDAE)",,SOUTHWESTERN NATURALIST,26,4,,415,423,,10.2307/3671085,,,,,,0038-4909,,WOS:A1981NG98800012
Fish,1981,"FISHER, SG; BUSCH, DE; GRIMM, NB","DIEL FEEDING CHRONOLOGIES IN 2 SONORAN DESERT STREAM FISHES, AGOSIA-CHRYSOGASTER (CYPRINIDAE) AND PANTOSTEUS-CLARKI (CATOSTOMIDAE)",,SOUTHWESTERN NATURALIST,26,1,,31,36,,10.2307/3671326,,,,,,0038-4909,,WOS:A1981LN41000005
Invertebrate,1981,"GRAY, LJ",SPECIES COMPOSITION AND LIFE HISTORIES OF AQUATIC INSECTS IN A LOWLAND SONORAN DESERT STREAM,,AMERICAN MIDLAND NATURALIST,106,2,,229,242,,10.2307/2425159,,,,,,0003-0031,,WOS:A1981MQ07100003
Invertebrate,1981,"GRAY, LJ; FISHER, SG",POST-FLOOD RECOLONIZATION PATHWAYS OF MACROINVERTEBRATES IN A LOWLAND SONORAN DESERT STREAM,,AMERICAN MIDLAND NATURALIST,106,2,,249,257,,10.2307/2425161,,,,,,0003-0031,,WOS:A1981MQ07100005
Biogeochemistry,1981,"GRIMM, NB; FISHER, SG; MINCKLEY, WL",NITROGEN AND PHOSPHORUS DYNAMICS IN HOT DESERT STREAMS OF SOUTHWESTERN USA,"Nitrogen to phosphorus ratios and concentrations of nitrate and soluble reactive phosphate are presented for an array of Southwestern streams as evidence that nitrogen is the limiting nutrient where such limitation occurs. Nitrate uptake in sections of intermittent streams was attributable to autotrophic activity. Uptake of soluble reactive phosphate was unrelated to any indicator of autotrophic activity, thus concentrations of this nutrient in desert and semi-desert stream waters may be controlled by other factors.",HYDROBIOLOGIA,83,2,,303,312,,10.1007/BF00008281,,,,,,0018-8158,,WOS:A1981ME24600016
Assessment,1982,"NYHAN, JW; WHITE, GC; TRUJILLO, G",SOIL PLUTONIUM AND CESIUM IN STREAM CHANNELS AND BANKS OF LOS-ALAMOS LIQUID EFFLUENT-RECEIVING AREAS,,HEALTH PHYSICS,43,4,,531,541,,10.1097/00004032-198210000-00007,,,,,,0017-9078; 1538-5159,,WOS:A1982PR81600007
Assessment,1983,"DOUGLASS, JE; VANLEAR, DH",PRESCRIBED BURNING AND WATER-QUALITY OF EPHEMERAL STREAMS IN THE PIEDMONT OF SOUTH-CAROLINA,,FOREST SCIENCE,29,1,,181,189,,,,,,,,0015-749X,,WOS:A1983QK16800022
"Invertebrate, Biogeochemistry",1983,"FISHER, SG; GRAY, LJ",SECONDARY PRODUCTION AND ORGANIC-MATTER PROCESSING BY COLLECTOR MACROINVERTEBRATES IN A DESERT STREAM,,ECOLOGY,64,5,,1217,1224,,10.2307/1937830,,,,,,0012-9658,,WOS:A1983RJ86800028
Fish,1984,"PENCZAK, T; MOLINSKI, M","FISH PRODUCTION IN OUED-SEBAOU SEBAOU, A SEASONAL RIVER IN NORTH ALGERIA",,JOURNAL OF FISH BIOLOGY,25,6,,723,732,,10.1111/j.1095-8649.1984.tb04918.x,,,,,,0022-1112,,WOS:A1984TY47100009
Invertebrate,1986,"JACKSON, JK; FISHER, SG","SECONDARY PRODUCTION, EMERGENCE, AND EXPORT OF AQUATIC INSECTS OF A SONORAN DESERT STREAM",,ECOLOGY,67,3,,629,638,,10.2307/1937686,,,,,,0012-9658,,WOS:A1986C459800005
Invertebrate,1987,"BADRI, A; GIUDICELLI, J; PREVOT, G","EFFECTS OF A FLOOD ON THE BENTHIC INVERTEBRATE COMMUNITY IN A MEDITERRANEAN RIVER, THE RDAT (MOROCCO)",,ACTA OECOLOGICA-OECOLOGIA GENERALIS,8,4,,481,500,,,,,,,,0243-766X,,WOS:A1987L760800003
Biogeochemistry,1987,"GRIMM, NB",NITROGEN DYNAMICS DURING SUCCESSION IN A DESERT STREAM,"Nitrogen dynamics of Sycamore Creek, Arizona, a lowland Sonoran Desert stream, are described by seven diel input-output budgets at different stages of postflood succession. Hydrologic inputs and outputs of nitrogen and N storage in periphyton, macroinvertebrates, and fish were measured over 24-h periods. Total nitrogen storage in this desert stream (3-9 g/m2) was lower than that in forest streams of Oregon (12 g/m2) and Quebec (22 g/m2). While > 99% of nitrogen in the latter systems is in allochthonous detritus, benthic algae and autochthonous detritus comprised 90% of the total nitrogen pool in the desert stream. Up to 14% of nitrogen was in consumer organisms. Inputs of nitrogen to the stream ecosystem were dominated by dissolved nitrogen, of which 19-60% was inorganic, primarily nitrate. Particulate nitrogen in transport (4-15% of total input) was mostly autochthonous. Inputs of nitrogen exceeded outputs on most study dates. Rates of ecosystem nitrogen retention were as high as 400 mg m-2 d-' and outputs exceeded inputs on only one study date. Retention was primarily of inorganic nitrogen and was presumed due to autotrophic assimilation. Nitrogen retention data from the seven budgets were used to evaluate the Vitousek and Reiners (1975) model that patterns of nitrogen retention during succession reflect patterns of net ecosystem production and biomass accumulation. Biomass and stored nitrogen increased asymptotically during a postflood successional sequence at a single site; nitrogen retention during this period accounted for increases in storage. Nitrogen retention among the seven study dates exhibited the predicted successional patterns of increases from early to middle successional stages, followed by late stage declines.",ECOLOGY,68,5,,1157,1170,,10.2307/1939200,,,,,,0012-9658,,WOS:A1987K221900002
"Invertebrate, Fish",1987,"MEFFE, GK; MINCKLEY, WL",PERSISTENCE AND STABILITY OF FISH AND INVERTEBRATE ASSEMBLAGES IN A REPEATEDLY DISTURBED SONORAN DESERT STREAM,,AMERICAN MIDLAND NATURALIST,117,1,,177,191,,10.2307/2425718,,,,,,0003-0031,,WOS:A1987G387000018
Invertebrate,1987,"SMITH, REW; PEARSON, RG",THE MACROINVERTEBRATE COMMUNITIES OF TEMPORARY POOLS IN AN INTERMITTENT-STREAM IN TROPICAL QUEENSLAND,,HYDROBIOLOGIA,150,1,,45,61,,10.1007/BF00006609,,,,,,0018-8158,,WOS:A1987J124800005
Fish,1988,"ADEBISI, AA",CHANGES IN THE STRUCTURAL AND FUNCTIONAL COMPONENTS OF THE FISH COMMUNITY OF A SEASONAL RIVER,,ARCHIV FUR HYDROBIOLOGIE,113,3,,457,463,,,,,,,,0003-9136,,WOS:A1988Q334800009
Assessment,1988,"Graf, W.L.",Fluvial processes in dryland rivers,"The book is a synthesis of river processes and forms in drylands-the semiarid, arid, and extremely arid portions of the Earth's surface. It describes the present understanding of dryland rivers, using a theoretical framework with examples and results of research from many areas of the world. The most important feature of this book is that it represents the first organized review of the knowledge about dryland rivers. Information on practical management and planning is also included. The book stresses the philosophical and methodological aspects of geomorphologic research, rather than merely reporting results. Scientists may expect to use the work frequently as a guide to the literature, an intellectual review of previous ideas in the field, and an indication of where further work is needed. Planners and decision makers in dryland regions may expect to use the book as an entre to the science of geomorphology as applied to dryland environments.",Fluvial processes in dryland rivers,,,,xiv+346 pp,xiv+346 pp,,,,,,,,,,INSPEC:3265485
"Invertebrate, Biogeochemistry",1988,"GRIMM, NB",ROLE OF MACROINVERTEBRATES IN NITROGEN DYNAMICS OF A DESERT STREAM,,ECOLOGY,69,6,,1884,1893,,10.2307/1941165,,,,,,0012-9658,,WOS:A1988R017400026
Biogeochemistry,1988,"GRIMM, NB","FEEDING DYNAMICS, NITROGEN BUDGETS, AND ECOSYSTEM ROLE OF A DESERT STREAM OMNIVORE, AGOSIA-CHRYSOGASTER (PISCES, CYPRINIDAE)","Feeding habits, diel periodicity and total daily ingestion, and nitrogen budgets of longfin dace (Agosia chrysogaster) were examined on two occasions when food quality, but not quantity, differed.Agosia chrysogasterÿwas found to be an opportunistic omnivore, consuming primarily insects when the preferred taxon (baetid mayflies) was abundant in the environment, but consuming primarily algae when mayfly abundance was low. Ingestion provided a better measure of diel feeding periodicity than gut fullness; feeding was diurnal on both sample dates, but more markedly so when the primary food was algae. Mean nitrogen content of algal foods was low, andÿA. chrysogasterapparently compensated for this by increasing its daily ingestion rate when algae were the major food. A reduction in nitrogen content of food during digestion from 4?6% (of dry mass) to less than 1% (in feces) suggested a high assimilation efficiency for nitrogen (nitrogen assimilated/nitrogen consumed = 72?78%). Populations of this abundant and successful cyprinid in Sonoran Desert streams may play an important role in ecosystem nitrogen dynamics. Nitrogen stored in fish biomass comprised 3?6% of the total nitrogen stored in Sycamore Creek, and excretion of ammonia by the fish represented 5?10% of total nitrogen uptake by algae. Such rapid recycling of usable nitrogen to primary producers is significant in this nitrogen limited stream ecosystem.",ENVIRONMENTAL BIOLOGY OF FISHES,21,2,,143,152,,10.1007/BF00004849,,,,,,0378-1909,,WOS:A1988M153700006
Invertebrate,1988,"JACKSON, JK","DIEL EMERGENCE, SWARMING AND LONGEVITY OF SELECTED ADULT AQUATIC INSECTS FROM A SONORAN DESERT STREAM",,AMERICAN MIDLAND NATURALIST,119,2,,344,352,,10.2307/2425817,,,,,,0003-0031,,WOS:A1988P002000013
Biogeochemistry,1988,"TURNER, D","NITROGEN IN A WADI ECOSYSTEM, FEZZAN, LIBYA","Total ammonium nitrogen contents for three desert grasses, Panicum turgidum, Pennisetum divisum and Stipagrostis scoparia, and for a leguminous shrub, Retama retam, are reported together with determinations of the extractable nitrate and ammonium nitrogen, theÿcarbonÿexchange capacity and the total and inorganiccarbonÿcontents of the wadi bed alluvium in which they grow. The determinations are for plants from the Fezzan, Central Sahara. Comments are made on the nitrogenÿcycleÿfor this desert site. We believe that these are the first data on their kind for the Central Sahara.",JOURNAL OF ARID ENVIRONMENTS,14,1,,43,53,,,,,,,,0140-1963,,WOS:A1988L878200005
Invertebrate,1989,"CARL, M",THE ECOLOGY OF A WADI IN IRAQ WITH PARTICULAR REFERENCE TO COLONIZATION STRATEGIES OF AQUATIC MACROINVERTEBRATES,,ARCHIV FUR HYDROBIOLOGIE,116,4,,499,515,,,,,,,,0003-9136,,WOS:A1989AY64000007
Invertebrate,1989,"GRIMM, NB; FISHER, SG",STABILITY OF PERIPHYTON AND MACROINVERTEBRATES TO DISTURBANCE BY FLASH FLOODS IN A DESERT STREAM,,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,8,4,,293,307,,10.2307/1467493,,,,,,0887-3593,,WOS:A1989CD65400001
Invertebrate,1989,"PARKER, MS",EFFECT OF SUBSTRATE COMPOSITION ON DETRITUS ACCUMULATION AND MACROINVERTEBRATE DISTRIBUTION IN A SOUTHERN NEVADA DESERT STREAM,,SOUTHWESTERN NATURALIST,34,2,,181,187,,10.2307/3671727,,,,,,0038-4909,,WOS:A1989AD43400002
Assessment,1989,"RAMPE, JJ; RUNNELLS, DD","CONTAMINATION OF WATER AND SEDIMENT IN A DESERT STREAM BY METALS FROM AN ABANDONED GOLD MINE AND MILL, EUREKA DISTRICT, ARIZONA, USA",,APPLIED GEOCHEMISTRY,4,5,,445,454,,10.1016/0883-2927(89)90002-4,,,,,,0883-2927,,WOS:A1989CG73200002
Fish,1989,"RUTLEDGE, CJ; BEITINGER, TL",THE EFFECTS OF DISSOLVED-OXYGEN AND AQUATIC SURFACE RESPIRATION ON THE CRITICAL THERMAL MAXIMA OF 3 INTERMITTENT-STREAM FISHES,,ENVIRONMENTAL BIOLOGY OF FISHES,24,2,,137,143,,10.1007/BF00001283,,,,,,0378-1909,,WOS:A1989T775700005
Assessment,1990,"Hockey, B.; Richards, T.; Osmaston, H.",Prospects for operational remote sensing of surface water,"The major surface storages of liquid water in the land phase of the hydrological cycle comprise channel storage in lakes and rivers including ephemeral streams, overbank storage on floodplains, and soil moisture. Many workers have investigated the capacity, contents and behaviour of these storages using remote sensing techniques. These, despite problems of sampling frequency and spatial resolution, can yield useful information especially in the field of hazard monitoring. Of equal importance, however, is their indirect use for assessing landcover, information on which is commonly required for hydrological modelling.",Remote Sensing Reviews,4,2,,265,83,,,,,,,,0275-7257,,INSPEC:3780496
Fish,1991,"ALSAFADI, MM",FRESH-WATER MACROFAUNA OF STAGNANT WATERS IN YEMEN-ARAB-REPUBLIC,"We inventorize the freshwater macrofauna of 4 different wadis, representing the low and highlands, in Yemen Arab Republic. The fauna comprised 6 molluscan, 21 Coleopteran, 8 Hemipteran, 2 amphibian and one fish species. Of the Coleoptera, 8 species are new records to yemen Arab Republic. The genus Exitianus is recorded for the first time in Yemen Arab Republic. Diversity in the uplands and lowlands was similar, but biomass was much higher in the lowlands than in the highlands.",HYDROBIOLOGIA,210,3,,203,208,,10.1007/BF00034678,,,,,,0018-8158,,WOS:A1991FF63700005
"Biogeochemistry, Assessment",1991,"BELILLAS, CM; RODA, F",NUTRIENT BUDGETS IN A DRY HEATHLAND WATERSHED IN NORTHEASTERN SPAIN,"Dissolved nutrient inputs in bulk precipitation and outputs in streamwater were measured during 3 years of contrasting hydrological conditions in a 6.3-ha, grazed heathland watershed on schists in the Montseny mountains (NE Spain), drained by an intermittent stream. On average, 39% of the precipitation became streamflow. Bulk precipitation delivered positive net alkalinity (mean 0.22 keq/ha/yr), sulphate input was moderate (9.0 kg SO4-S/ha/yr), and the mean input of inorganic N was not exceptionally high (6.6 kg/ha/yr). Ion concentrations were relatively low in streamwater; SO4(2-) was the dominant anion. Most concentrations in streamwater varied seasonally, with maxima in late summer or early autumn and minima in spring. This pattern probably resulted from increased availability of ions for leaching due to decomposition of organic matter and chemical weathering during the warm period. Nitrate concentrations were relatively high in winter and dropped sharply in early spring, probably because of biological uptake. Annual element outputs in streamwater varied between years and seemed to be controlled by both the amount of annual streamflow and its seasonal distribution. Annual inputs exceeded outputs for dissolved inorganic N. The watershed accumulated H+ and Ca2+, had net losses of Na+ and Mg2+, and was close to steady state for K+, SO4(2-), Cl- and alkalinity. The chloride budgets gave no evidence of substantial dry deposition in this system. The cationic denudation rate was negative (-0.14 keq/ha/yr) because Ca2+ retention was higher than net exports of Na+ and Mg2+ from silicate weathering. Low nutrient export and little production of alkalinity suggest that this watershed has a low buffering capacity.",BIOGEOCHEMISTRY,13,2,,137,157,,,,,,,,0168-2563,,WOS:A1991GH74100003
Invertebrate,1991,"BOULTON, AJ",EUCALYPT LEAF DECOMPOSITION IN AN INTERMITTENT-STREAM IN SOUTH-EASTERN AUSTRALIA,"Eucalypt leaf packs were placed at two sites in an intermittent stream during summer to examine the hypothesis that terrestrially-exposed leaf litter accumulates a richer microbial flora than submerged leaves-a phenomenon observed in Canadian temporary vernal pools. This did not occur; during the experiment, microbial biomass (as ATP) rose steadily on submerged leaves but remained low on terrestrially-exposed leaves. Densities of most functional feeding groups on the submerged leaves increased with time. Scrapers appeared to be more important than shredders in eucalypt leaf breakdown at both sites.",HYDROBIOLOGIA,211,2,,123,136,,10.1007/BF00037368,,,,,,0018-8158,,WOS:A1991FG24300005
"Invertebrate, Biogeochemistry",1991,"BOULTON, AJ; STIBBE, SE; GRIMM, NB; FISHER, SG",INVERTEBRATE RECOLONIZATION OF SMALL PATCHES OF DEFAUNATED HYPORHEIC SEDIMENTS IN A SONORAN DESERT STREAM,"1. Fine mesh (63-mu-m) traps filled with defaunated sediment and open to recolonization from upstream, downstream or below were buried 30 cm deep in the hyporheic zone of a gravel run in a desert stream and recovered after 1, 3, 7, 14 and 27 days. Temporal changes in organic matter and faunal composition and abundance were compared among treatments and with those in completely closed 'control' traps.2. Closed traps consistently contained little detritus (< 30 mg AFDM per 5000 cm3). Traps facing upstream accumulated significantly more organic matter than those facing below or downstream, indicating downstream hyporheic transport of fine particulate detritus.3. Upstream-facing traps also captured significantly greater numbers of taxa and individuals. Low numbers of most taxa recolonized from all three directions within 1 day; total densities of individuals in the traps increased before levelling off after 2 weeks.4. The prediction that taxa with planktonic epigean relatives (e.g. cyclopoid copepods) would predominate in upstream facing traps was unsupported, nor did unpigmented, blind phreatic forms preferentially colonize traps from below. Two closely related taxa exhibited major differences in recolonization dynamics, illustrating the risk of masking such trends when pooling data for more than one taxon.5. Experimental manipulations such as this supplement the predominantly descriptive studies of the hyporheos, and demonstrate the complex dynamics of organic matter and biota in the hyporheic zone that must be considered in analyses of most stream ecosystems.",FRESHWATER BIOLOGY,26,2,,267,277,,10.1111/j.1365-2427.1991.tb01734.x,,,,,,0046-5070,,WOS:A1991GQ11500011
Invertebrate,1991,"BROOKS, SS; BOULTON, AJ",RECOLONIZATION DYNAMICS OF BENTHIC MACROINVERTEBRATES AFTER ARTIFICIAL AND NATURAL DISTURBANCES IN AN AUSTRALIAN TEMPORARY STREAM,"The effects of substratum particle size (cobbles, coarse gravel and medium-fine gravel) on recolonization by benthic macroinvertebrates after disturbance was investigated in small plots (0.05 m2) in the Finniss River, an intermittent stream in South Australia. Six weeks after flow resumed, the intermediate particle size (coarse gravel) supported the greatest densities of taxa and individuals. Experimental disturbance reduced species richness by 83% and numbers of individuals by 97%. Rapid recolonizers (e.g. mayfly and stonefly nymphs) showed little substratum specificity and attained predisturbance densities within one day. Slow recolonizers (e.g. chironomid hatchlings) favoured gravel substrata and had not reached predisturbance densities within 4 days. Recolonization of small plots appeared to be by surface movement from neighbouring intact areas. A spate on Day 7 prevented further sampling, destroying all experimental plots, but this permitted a study of macroinvertebrate recolonization following a natural disturbance at a larger spatial scale. The spate reduced species richness by 45% and numbers of individuals by 70%. Vertical migration rather than drift appeared to be the major source of recolonizing fauna. Our data show that results from small-scale experiments can not be extrapolated to large-scale disturbance because the scale of disturbance strongly influences the rate and pathways of recolonization as well as the sources and faunal composition of the recolonists.",AUSTRALIAN JOURNAL OF MARINE AND FRESHWATER RESEARCH,42,3,,295,308,,,,,,,,0067-1940,,WOS:A1991FQ36500006
Fish,1991,"CHAPMAN, LJ; KRAMER, DL",THE CONSEQUENCES OF FLOODING FOR THE DISPERSAL AND FATE OF POECILIID FISH IN AN INTERMITTENT TROPICAL STREAM,"We studied the rainy season dispersal of the fish Poecilia gillii (Poeciliidae) from pools in a steep-gradient, intermittent stream in Santa Rosa National Park, Costa Rica. The stream consisted of about 20 pools separated by dry streambed except during two floods and subsequent brief periods of flow. Individually recognizable tags permitted mark-recapture estimates of population size and information on individual movements. The first flood was very severe, with pools losing an average of 75% of their populations (range 12-99%). Most of the lost fish died by becoming trapped in desiccating pools. Males and juveniles were more likely to be lost than were females. Population loss was negatively related to pool volume and positively related to streambed slope. In addition, population loss was positively related to pre-flood population size when the effects of pool volume and slope were removed indicating that pools with higher densities lost more fish. Of the fish recaptured after the flood, the average proportion found in the pool in which they had been tagged varied from 16%-96%, depending on the area of the stream. Of fish that moved, 92% went downstream. The second flood was less severe though stream flow lasted as long, and there was little effect on the pool populations. Involuntary flushing during the flood and voluntary departure apparently interacted to produce the observed patterns.",OECOLOGIA,87,2,,299,306,,10.1007/BF00325270,,,,,,0029-8549,,WOS:A1991FX12200019
Fish,1991,"CHAPMAN, LJ; KRAMER, DL; CHAPMAN, CA",POPULATION-DYNAMICS OF THE FISH POECILIA-GILLII (POECILIIDAE) IN POOLS OF AN INTERMITTENT TROPICAL STREAM,"(1) This study examines the population ecology of Poecilia gillii (Kner & Steindachner, 1863), a small algae- and detritus-feeding fish, inhabiting sixteen isolated, residual pools of a high-gradient, intermittent stream in Costa Rica following floods which severely reduced the number of fish in the stream.(2) Immediately after the floods, population sizes averaged 20% and pool surface areas 130% of their pre-flood values, periphyton production was relatively low and dissolved oxygen was relatively high. Among pools, population densities were not correlated with their pre-flood values, and the population growth rates showed a weak negative correlation with density, a marginal positive correlation with periphyton production and no correlation with oxygen.(3) Near the end of the 153-day post-flood study period, population sizes had risen to 50% of their pre-flood values, while pool areas had fallen to 73% of their pre-flood values. Periphyton production was relatively high and dissolved oxygen was very low. Among pools, population densities were correlated with their pre-flood values, and the population growth rate showed a strong negative correlation with population density and strong positive correlations with periphyton production and dissolved oxygen level.(4) These results suggest that in highly seasonal tropical environments, temporal patterns of population abundance in high-gradient streams will be very different from those in floodplains, where the rainy season is a time of increase and the dry season a time of decline. Spatial variation in environmental characteristics which control periphyton, detritus and oxygen availability may produce characteristic population densities in different pools. An increase in the proportion of males and a decrease in their size after the floods suggest social inhibition of sexual maturation during the late dry season.",JOURNAL OF ANIMAL ECOLOGY,60,2,,441,453,,10.2307/5289,,,,,,0021-8790,,WOS:A1991FT29200005
Assessment,1991,"GRAF, WL; CLARK, SL; KAMMERER, MT; LEHMAN, T; RANDALL, K; SCHROEDER, R","GEOMORPHOLOGY OF HEAVY-METALS IN THE SEDIMENTS OF QUEEN-CREEK, ARIZONA, USA","Data from Queen Creek, a dryland stream in southcentral Arizona, show that the distributions of heavy metals (especially Cu, Pb, Zn, and V) in sediments are strongly related to the spatial aspects of fluvial processes. Cu/Zn and Cu/V ratios permit discrimination between materials polluted by eroded mine tailings and those containing only erosion products from the surrounding metalliferous terrain. In stratigraphic sections, metal ratios discriminate between pre-industrial alluvium and post-industrial flood deposits. On valley floors, channels and active alluvium have the highest metal concentrations, while other process environments have decreasing amounts associated with decreasing frequencies of inundation. Materials from the mine tailings become progressively diluted with increasing distance from the source. Metals appear to be chemically stable once they are precipitated and adsorbed in the alkaline dryland conditions. Spatial variability of metal concentrations are more important than variability associated with particle size in explaining the fate of contaminants in the fluvial sediment system.",CATENA,18,6,,567,582,,10.1016/0341-8162(91)90039-Z,,,,,,0341-8162,,WOS:A1991GV02900003
Biogeochemistry,1991,"MCCORMICK, PV; STEVENSON, RJ",GRAZER CONTROL OF NUTRIENT AVAILABILITY IN THE PERIPHYTON,"Benthic algal assemblages are regulated by both abiotic (e.g., nutrient) and biotic (e.g., grazing) constraints. The objective of this study was to determine how changes in these two factors affected the structure of an algal assemblage in an ephemeral stream. Coverslips were incubated for 21 days in enclosures containing one of three nutrient environments (ambient, phosphorus-enriched, or phosphorus and nitrogen enriched) and one of four densities of the snail Goniobasis (0, 40, 80, or 120 snails/m2) and examined directly to enumerate the algal assemblage. The effect of grazing on algal biomass was dependent on the nutrient environment. An overstory of diatoms was susceptible to removal by grazing and was not strongly affected by nutrient enrichment. An understory of Stigeoclonium was more resistant to grazing and responded strongly to nutrient enrichment only in the presence of grazers. Snail grazers may mediate nutrient availability to the understory indirectly by removing overlying cells or by direct excretion of nutrients. Multiple interactions occur between benthic herbivores and algae, and, as shown here, some of them are positive and involve modifications of the nutrient environment.",OECOLOGIA,86,2,,287,291,,10.1007/BF00317542,,,,,,0029-8549,,WOS:A1991FG40800018
